Filename,255_Pixel_Ratio,Percentage,Saved
L2016171.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016172.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.114876,11.49,Yes
L2016173.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.005817,0.58,Yes
L2016174.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016175.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016176.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.006058,0.61,Yes
L2016177.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.008239,0.82,Yes
L2016178.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016179.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.382978,38.30,No
L2016180.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.314930,31.49,No
L2016181.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.033669,3.37,Yes
L2016182.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016183.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.316564,31.66,No
L2016184.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.151733,15.17,Yes
L2016185.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.233036,23.30,Yes
L2016186.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016187.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.257791,25.78,Yes
L2016188.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.254226,25.42,Yes
L2016189.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.206309,20.63,Yes
L2016190.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016191.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.266685,26.67,Yes
L2016192.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.022132,2.21,Yes
L2016193.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.301521,30.15,No
L2016194.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016195.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.072914,7.29,Yes
L2016196.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.135718,13.57,Yes
L2016197.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.344272,34.43,No
L2016198.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016199.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.259582,25.96,Yes
L2016200.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.207717,20.77,Yes
L2016201.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016202.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412087,41.21,No
L2016203.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.183942,18.39,Yes
L2016204.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.168346,16.83,Yes
L2016205.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016206.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412310,41.23,No
L2016207.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.225625,22.56,Yes
L2016208.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.028233,2.82,Yes
L2016209.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016210.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.404325,40.43,No
L2016211.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.131739,13.17,Yes
L2016212.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.322837,32.28,No
L2016213.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016214.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.131351,13.14,Yes
L2016215.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.009463,0.95,Yes
L2016216.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.020544,2.05,Yes
L2016217.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016218.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.234124,23.41,Yes
L2016219.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.010315,1.03,Yes
L2016220.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.200641,20.06,Yes
L2016221.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016222.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.116275,11.63,Yes
L2016223.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.017615,1.76,Yes
L2016224.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.382125,38.21,No
L2016225.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016226.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.360982,36.10,No
L2016227.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.335781,33.58,No
L2016228.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016229.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.411507,41.15,No
L2016230.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.252583,25.26,Yes
L2016231.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.011178,1.12,Yes
L2016232.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016233.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.312736,31.27,No
L2016234.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.085024,8.50,Yes
L2016235.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.034177,3.42,Yes
L2016236.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016237.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.267295,26.73,Yes
L2016238.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.220621,22.06,Yes
L2016239.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.072133,7.21,Yes
L2016240.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.412618,41.26,No
L2016241.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.130126,13.01,Yes
L2016242.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.005483,0.55,Yes
L2016243.L3m_DAY_CYAN_CI_cyano_CYAN_CONUS_300m_7_2.tif,0.053242,5.32,Yes
